stop/id,stop/code,stop/name,stop/desc,stop/lat,stop/lon,stop/location-type,stop/parent-station,stop/wheelchair-boarding,stop/platform-code,stop/zone-id,stop/level-id
de:12072:900245027:2:52,,S Blankenfelde (TF) Bhf,,52.338503000000,13.415406000000,0,de:12072:900245027,1,3,5955 S Blankenfelde (TF) Bhf,33
de:12072:900245027:1:50,,s blankenfelde (tf) bhf,,52.336892000000,13.416105000000,0,de:12072:900245027,1,1,5955 s blankenfelde (tf) bhf,33
de:12072:900245027:1:51,,S Blankenfelde (TF) Bhf,,52.336908000000,13.416211000000,0,de:12072:900245027,1,2,5955 S Blankenfelde (TF) Bhf,33
de:12072:900245027,,S Blankenfelde (TF) Bhf,,52.337628000000,13.415908000000,1,,1,,5955 S Blankenfelde (TF) Bhf,
de:12070:900215110:1:50,,"Bad Wilsnack, Bahnhof",,52.960114000000,11.949402000000,0,de:12070:900215110,1,2,"4533 Bad Wilsnack, Bahnhof",50
de:12070:900215110:2:51,,"Bad Wilsnack, Bahnhof",,52.960219000000,11.949528000000,0,de:12070:900215110,1,3,"4533 Bad Wilsnack, Bahnhof",50
de:12070:900215110,,"Bad Wilsnack, Bahnhof",,52.960139000000,11.949455000000,1,,1,,"4533 Bad Wilsnack, Bahnhof",
000300527003,,"Bad Wilsnack, Bahnhof",,52.959997000000,11.949328000000,2,de:12070:900215110,1,,,9
000300527004,,"Bad Wilsnack, Bahnhof",,52.960017000000,11.949231000000,2,de:12070:900215110,1,,,9
