route/id,route/trip-id
23675_700,187459481
23675_700,187459480
23675_700,187459479
23675_700,187459478
23675_700,187459477
23674_700,187458590
23674_700,187458589
23674_700,187458588
23674_700,187458587
23674_700,187458586
23673_700,187447050
23673_700,187447006
23673_700,187447049
23673_700,187447005
23673_700,187447048
23672_700,187443797
23672_700,187443789
23672_700,187443796
23672_700,187443788
23672_700,187443795
