stop/id,stop/code,stop/name,stop/desc,stop/lat,stop/lon,stop/location-type,stop/parent-station,stop/wheelchair-boarding,stop/platform-code,stop/zone-id,stop/level-id
de:12061:900261549,,"Lubolz, Bahnhof",,51.962401000000,13.821310000000,1,,1,,"6762 Lubolz, Bahnhof",
de:12066:900435818,,"Luckaitztal, Bahnhof",,51.685048000000,14.001706000000,1,,1,,"7465 Luckaitztal, Bahnhof",
de:12066:900435209,,"Altdöbern, Bahnhof",,51.652560000000,14.009347000000,1,,1,,"7465 Altdöbern, Bahnhof",
de:12066:900435459,,"Calau, Bahnhof",,51.738228000000,13.980106000000,1,,1,,"7264 Calau, Bahnhof",
de:12066:900435884,,"Vetschau, Bahnhof",,51.789471000000,14.081529000000,1,,1,,"7166 Vetschau, Bahnhof",
de:12066:900435602,,"Lübbenau, Bahnhof",,51.862114000000,13.962173000000,1,,1,,"6964 Lübbenau, Bahnhof",
de:12066:900435527,,"Gollmitz, Bahnhof",,51.704677000000,13.886832000000,1,,1,,"7363 Gollmitz, Bahnhof",
de:12061:900261596,,"Luckau-Uckro, Bahnhof",,51.852127000000,13.607740000000,1,,1,,"7059 Luckau-Uckro, Bahnhof",
de:12061:900261171,,"Golßen, Bahnhof",,51.974152000000,13.575069000000,1,,1,,"6759 Golßen, Bahnhof",
de:12061:900260408,,"Drahnsdorf, Bahnhof",,51.915651000000,13.581394000000,1,,1,,"6858 Drahnsdorf, Bahnhof",
de:12061:900261973,,"Walddrehna, Bahnhof",,51.772807000000,13.617134000000,1,,1,,"7259 Walddrehna, Bahnhof",
de:12062:900415005,,"Finsterwalde, Bahnhof",,51.636966000000,13.710318000000,1,,1,,"7561 Finsterwalde, Bahnhof",
de:12062:900415112,,"Doberlug-Kirchhain, Bahnhof",,51.620611000000,13.564187000000,1,,1,,"7558 Doberlug-Kirchhain, Bahnhof",
de:12062:900415167,,"Elsterwerda-Biehla, Bahnhof",,51.472262000000,13.519540000000,1,,1,,"7858 Elsterwerda-Biehla, Bahnhof",
de:12062:900415464,,"Fermerswalde, Bahnhof",,51.642788000000,13.174152000000,1,,1,,"7452 Fermerswalde, Bahnhof",
de:12062:900415465,,"Prösen, Bahnhof",,51.434892000000,13.488202000000,1,,1,,"7958 Prösen, Bahnhof",
de:12062:900415466,,"Schönborn, Bahnhof",,51.601989000000,13.468036000000,1,,1,,"7657 Schönborn, Bahnhof",
de:12062:900415467,,"Uebigau, Bahnhof",,51.585421000000,13.296546000000,1,,1,,"7654 Uebigau, Bahnhof",
de:12062:900415345,,"Falkenberg/E., Bahnhof",,51.583187000000,13.247591000000,1,,1,,"7753 Falkenberg/E., Bahnhof",
de:12062:900416072,,"Rehfeld (EE), Bahnhof",,51.579907000000,13.153918000000,1,,1,,"7652 Rehfeld (EE), Bahnhof",
de:12062:900416008,,"Plessa, Bahnhof",,51.470851000000,13.616893000000,1,,1,,"7959 Plessa, Bahnhof",
de:12062:900415502,,"Elsterwerda, Bahnhof",,51.459803000000,13.516412000000,1,,1,,"7858 Elsterwerda, Bahnhof",
de:12062:900415357,,"Beutersitz, Bahnhof",,51.590096000000,13.360627000000,1,,1,,"7755 Beutersitz, Bahnhof",
de:12062:900415240,,"Bad Liebenwerda, Bahnhof",,51.518406000000,13.402704000000,1,,1,,"7856 Bad Liebenwerda, Bahnhof",
de:12062:900416053,,"Prösen, West Bhf",,51.424321000000,13.469436000000,1,,1,,"7958 Prösen, West Bhf",
de:12066:900435000,,"Senftenberg, Bahnhof",,51.526790000000,14.003977000000,1,,1,,"7765 Senftenberg, Bahnhof",
de:12066:900435203,,"Lauchhammer, Bahnhof",,51.474401000000,13.743970000000,1,,1,,"7861 Lauchhammer, Bahnhof",
de:12066:900435314,,"Hosena, Bahnhof",,51.454457000000,14.016177000000,1,,1,,"7965 Hosena, Bahnhof",
de:12066:900435800,,"Bahnsdorf (OSL), Bahnhof",,51.581728000000,14.112302000000,1,,1,,"7767 Bahnsdorf (OSL), Bahnhof",
de:12066:900435801,,"Ortrand, Bahnhof",,51.373950000000,13.764527000000,1,,1,,"8161 Ortrand, Bahnhof",
de:12066:900435802,,"Schwarzheide, Ost Bhf",,51.473622000000,13.890780000000,1,,1,,"7963 Schwarzheide, Ost Bhf",
de:12071:900445593,,"Guben, Bahnhof",,51.957654000000,14.707037000000,1,,1,,"6676 Guben, Bahnhof",
de:12071:900445010,,"Forst, Bahnhof",,51.739249000000,14.637640000000,1,,1,,"7275 Forst, Bahnhof",
de:12071:900445122,,"Klinge, Bahnhof",,51.743584000000,14.518390000000,1,,1,,"7373 Klinge, Bahnhof",
de:12071:900445360,,"Drebkau, Bahnhof",,51.655166000000,14.223162000000,1,,1,,"7468 Drebkau, Bahnhof",
